Intercept y y2s y3s y4s x x2s x3s x4s w w2s w3s w4s quantile type sex
40.4190 -0.1244 0.2024 2.2651 -13.8723 0.2085 -0.0028 0.0242 -0.0270 -0.0263 0.4803 -0.7170 0.3102 0.76 dia F
41.2786 -0.4001 0.5512 0.3246 -9.9661 0.2234 -0.0037 0.0333 -0.0397 -0.0258 0.4110 -0.6274 0.2957 0.77 dia F
44.5475 -0.4095 0.5884 0.3313 -11.0779 0.2020 -0.0036 0.0417 -0.0815 -0.0240 0.2501 -0.3889 0.1968 0.78 dia F
48.1433 -0.5054 0.6845 0.6598 -14.3615 0.1854 -0.0038 0.0599 -0.1887 -0.0266 0.0236 -0.0355 0.0216 0.79 dia F
36.6027 -0.2846 0.4948 0.5126 -11.9027 0.2648 -0.0058 0.0611 -0.1823 -0.0318 0.3126 -0.4516 0.1770 0.8 dia F
32.6680 -0.2953 0.5385 -0.5236 -7.6933 0.2977 -0.0064 0.0584 -0.1674 -0.0333 0.4917 -0.7205 0.2953 0.81 dia F
34.2675 -0.3725 0.6712 -1.4456 -4.7100 0.2927 -0.0065 0.0568 -0.1384 -0.0262 0.4807 -0.7367 0.3540 0.82 dia F
34.5736 -0.5184 0.8798 -2.5558 -3.2479 0.3039 -0.0074 0.0666 -0.1528 -0.0130 0.1827 -0.3110 0.2009 0.83 dia F
38.2705 -0.8498 1.1780 -3.1281 -5.8888 0.2993 -0.0068 0.0702 -0.2122 -0.0147 -0.2020 0.2993 -0.1195 0.84 dia F
27.2619 -0.7090 1.1524 -4.7290 0.3025 0.3797 -0.0092 0.0796 -0.2446 -0.0222 0.1254 -0.1630 0.0363 0.85 dia F
30.6429 -0.6031 1.1239 -5.8827 7.3287 0.3476 -0.0081 0.0684 -0.2186 -0.0270 0.4252 -0.6274 0.2628 0.86 dia F
38.2584 -0.5815 1.0570 -5.5212 7.7327 0.2884 -0.0057 0.0424 -0.1141 -0.0255 0.4732 -0.7143 0.3218 0.87 dia F
34.2063 -0.6992 1.3687 -7.5293 9.9367 0.3300 -0.0072 0.0412 -0.0552 -0.0037 0.0265 -0.0620 0.0645 0.88 dia F
28.3761 -0.5032 1.1656 -6.5035 7.3478 0.3702 -0.0090 0.0557 -0.0992 0.0012 -0.2162 0.3295 -0.1511 0.89 dia F
31.5473 -0.1910 0.8482 -4.9950 5.5448 0.3330 -0.0093 0.0772 -0.2338 -0.0012 -0.3665 0.5893 -0.3214 0.9 dia F
28.0599 -0.1241 0.7701 -4.7329 5.1931 0.3597 -0.0102 0.0796 -0.2161 -0.0098 0.0298 -0.0073 -0.0557 0.91 dia F
23.6587 0.3036 0.2722 -3.1305 5.7577 0.3693 -0.0097 0.0627 -0.1368 -0.0164 0.4595 -0.6438 0.2100 0.92 dia F
30.6936 0.0131 0.6061 -3.5047 1.8377 0.3406 -0.0098 0.0776 -0.1950 -0.0166 0.1956 -0.2534 0.0492 0.93 dia F
36.2121 -0.1094 0.7833 -3.9736 0.5351 0.3083 -0.0089 0.0774 -0.1975 -0.0148 0.0910 -0.0977 -0.0189 0.94 dia F
42.9427 -0.2087 1.2659 -7.7504 8.4270 0.2634 -0.0082 0.0706 -0.1836 0.0138 -0.4419 0.6751 -0.3217 0.95 dia F
35.6163 -0.3308 1.3791 -8.3941 8.0466 0.3365 -0.0098 0.0787 -0.2043 -0.0005 -0.1455 0.2492 -0.1613 0.96 dia F
52.6206 0.3420 0.8903 -5.8391 3.6866 0.1778 -0.0082 0.0886 -0.2524 0.0117 -0.5949 0.9156 -0.4441 0.97 dia F
73.7970 -0.1315 1.1805 -3.1333 -12.7158 0.0592 -0.0043 0.0809 -0.2789 -0.0520 0.1674 -0.2079 0.0315 0.98 dia F
